GEO_ID,NAME,P1_001N
1000000US361090006003000,"Block 3000, Block Group 3, Census Tract 6, Tompkins County, New York",47
1000000US361090006003001,"Block 3001, Block Group 3, Census Tract 6, Tompkins County, New York",9
1000000US361090006003002,"Block 3002, Block Group 3, Census Tract 6, Tompkins County, New York",46
1000000US361090006003003,"Block 3003, Block Group 3, Census Tract 6, Tompkins County, New York",92
1000000US361090006003004,"Block 3004, Block Group 3, Census Tract 6, Tompkins County, New York",23
1000000US361090006003005,"Block 3005, Block Group 3, Census Tract 6, Tompkins County, New York",0
1000000US361090006003006,"Block 3006, Block Group 3, Census Tract 6, Tompkins County, New York",20
1000000US361090006003007,"Block 3007, Block Group 3, Census Tract 6, Tompkins County, New York",32
1000000US361090006003008,"Block 3008, Block Group 3, Census Tract 6, Tompkins County, New York",22
1000000US361090006003009,"Block 3009, Block Group 3, Census Tract 6, Tompkins County, New York",0
1000000US361090006003010,"Block 3010, Block Group 3, Census Tract 6, Tompkins County, New York",0
1000000US361090006003011,"Block 3011, Block Group 3, Census Tract 6, Tompkins County, New York",35
1000000US361090006003012,"Block 3012, Block Group 3, Census Tract 6, Tompkins County, New York",0
1000000US361090006003013,"Block 3013, Block Group 3, Census Tract 6, Tompkins County, New York",54
1000000US361090006003014,"Block 3014, Block Group 3, Census Tract 6, Tompkins County, New York",44
1000000US361090006003015,"Block 3015, Block Group 3, Census Tract 6, Tompkins County, New York",81
1000000US361090006003016,"Block 3016, Block Group 3, Census Tract 6, Tompkins County, New York",104
1000000US361090006003017,"Block 3017, Block Group 3, Census Tract 6, Tompkins County, New York",33
1000000US361090006003018,"Block 3018, Block Group 3, Census Tract 6, Tompkins County, New York",20
1000000US361090006003019,"Block 3019, Block Group 3, Census Tract 6, Tompkins County, New York",33
1000000US361090006003020,"Block 3020, Block Group 3, Census Tract 6, Tompkins County, New York",52
1000000US361090006003021,"Block 3021, Block Group 3, Census Tract 6, Tompkins County, New York",14
1000000US361090006003022,"Block 3022, Block Group 3, Census Tract 6, Tompkins County, New York",7
1000000US361090006003023,"Block 3023, Block Group 3, Census Tract 6, Tompkins County, New York",26
1000000US361090006003024,"Block 3024, Block Group 3, Census Tract 6, Tompkins County, New York",135
1000000US361090006003025,"Block 3025, Block Group 3, Census Tract 6, Tompkins County, New York",34
1000000US361090006003026,"Block 3026, Block Group 3, Census Tract 6, Tompkins County, New York",0
1000000US361090006003027,"Block 3027, Block Group 3, Census Tract 6, Tompkins County, New York",24
1000000US361090006003028,"Block 3028, Block Group 3, Census Tract 6, Tompkins County, New York",13
